Id,Date,Text,Retweets,Favorites,Hashtags,IsReply,MentionedUsers
1189470830650019842,2019-10-30 09:15:19,@TeslaStars @Tesla …,77,3331,[],1,"['TeslaStars', 'Tesla']"
1189662336837025792,2019-10-30 21:56:18,@TeslaNY Walking on a Tesla Solarglass roof is definitely no problem!,74,1671,[],1,['TeslaNY']
1190094817084051456,2019-11-01 02:34:49,Tesla Solarglass vs 🎃 \nHappy Halloween!! https://t.co/p5tXeJYqne,4861,85493,[],0,[]
1191795051728269312,2019-11-05 19:10:57,@WillFealey @Teslarati Fair point. Coming soon. We’re making foundational upgrades to the core Tesla corporate OS. 2FA right after that.,76,1610,[],1,"['WillFealey', 'Teslarati']"
1192522536363282432,2019-11-07 19:21:43,RT @Teslarati: Tesla receives top scores in Moody’s Carbon Transition Assessment\nhttps://t.co/iWRvBiMCwg,434,0,[],0,['Teslarati']
1192650885010051073,2019-11-08 03:51:44,RT @ElectrekCo: 2020 Tesla Model 3 beats Hyundai IONIQ to become most efficient EV produced https://t.co/22UBKKzkIy by @llsethj https://t.c…,655,0,[],0,"['ElectrekCo', 'llsethj']"
1193552635606908928,2019-11-10 15:34:58,@getjeda @Tesla Haha,136,5021,[],1,"['getjeda', 'Tesla']"
1193555008001728512,2019-11-10 15:44:23,@xtrmmax @getjeda @Tesla Yes,71,2546,[],1,"['xtrmmax', 'getjeda', 'Tesla']"
1194443851903180800,2019-11-13 02:36:20,Congrats to Tesla team on Model 3 winning best midsize car in Germany! 🇩🇪🇩🇪🇩🇪 https://t.co/4CDTf4c3eC,1950,25012,[],0,[]
1194746283820535808,2019-11-13 22:38:06,"RT @lexfridman: The pale blue dot and beyond... Thank you to @elonmusk and the SpaceX, Tesla, Neuralink teams for making the world dream. F…",7497,0,[],0,"['lexfridman', 'elonmusk']"
1194762745650003969,2019-11-13 23:43:30,@v_g_fischer @Tesla There will be many opportunities for both new & experienced people!,58,1401,[],1,"['v_g_fischer', 'Tesla']"
1194814381311381504,2019-11-14 03:08:41,@nichegamer @v_g_fischer @Tesla Memes are modern art,227,1730,[],1,"['nichegamer', 'v_g_fischer', 'Tesla']"
1194816538022416385,2019-11-14 03:17:15,@flcnhvy @v_g_fischer @Tesla It was Tacheles,23,701,[],1,"['flcnhvy', 'v_g_fischer', 'Tesla']"
1196296059204407296,2019-11-18 05:16:21,@farrxy @Ford I’d be way too embarrassed to put that on a Tesla. It’s like a kid’s drawing.,46,1457,[],1,"['farrxy', 'Ford']"
1197235962171904000,2019-11-20 19:31:11,"@TeslaTested So many reporters gave Chanos airtime when he called Tesla a worthless fraud. Now that he has been proven wrong, silence …",538,4745,[],1,['TeslaTested']
1197612659568336896,2019-11-21 20:28:03,RT @Tesla: Cybertruck Unveil starts at 8\n\nStay tuned for livestream https://t.co/zrbsoKKLd7,7683,0,[],0,['Tesla']
1197624614714630146,2019-11-21 21:15:33,@WillFealey @Tesla Fun party guaranteed!,66,1501,[],1,"['WillFealey', 'Tesla']"
1197627433970589696,2019-11-21 21:26:45,Tesla Cybertruck (pressurized edition) will be official truck of Mars,10253,121938,[],0,[]
1197637653903970304,2019-11-21 22:07:22,@ElenMatvievska @Tesla Coming soon! We’re working to complete the full Supercharger route from London to Shanghai.,138,2223,[],1,"['ElenMatvievska', 'Tesla']"
1197712322233389056,2019-11-22 03:04:04,RT @Tesla: Cybertruck Unveil livestream starts at 8pm \nhttps://t.co/BhTBgNqeWQ https://t.co/qzKnsIkkms,2819,0,[],0,['Tesla']
1197712829177987072,2019-11-22 03:06:05,@DMC_Ryan High time we had a Tesla coil!,78,1850,[],1,['DMC_Ryan']
1197755415485771776,2019-11-22 05:55:18,RT @engineers_feed: @Tesla Oh. My. God. The Tesla Cyber Truck 🔥\nCredit @MyTeslaAdventur https://t.co/v424gdB2XP,5414,0,[],0,"['engineers_feed', 'Tesla', 'MyTeslaAdventur']"
1197886092889821184,2019-11-22 14:34:34,RT @MotorTrend: The MotorTrend team visited @Tesla twice during the development of #Cybertruck. Six exclusive stories and five videos at ht…,3039,0,['Cybertruck'],0,"['MotorTrend', 'Tesla']"
1197886803799232512,2019-11-22 14:37:24,@MoeSargi Tesla 2 person electric ATV will come at first as an option for Cybertruck,311,3917,[],1,['MoeSargi']
1197895848950026240,2019-11-22 15:13:20,@mithunoorath @Tesla Yes,149,5618,[],1,"['mithunoorath', 'Tesla']"
1198093416359325697,2019-11-23 04:18:24,@SuperSaf @Tesla Sure,345,11882,[],1,"['SuperSaf', 'Tesla']"
1198704127439560705,2019-11-24 20:45:09,"@annerajb @flcnhvy We’re creating this alloy at Tesla. Not a problem to create a lot of it, but we’ll need to come up with new body manufacturing methods, as it can’t be made using standard methods.",123,2568,[],1,"['annerajb', 'flcnhvy']"
1198746930970386433,2019-11-24 23:35:14,@Sofiaan @Tesla We should def make it good to hang out there,51,1389,[],1,"['Sofiaan', 'Tesla']"
1198747350069460992,2019-11-24 23:36:54,"@TeslaOwnersofMA @Sofiaan @Tesla In general, this is something Tesla should do",41,1308,[],1,"['TeslaOwnersofMA', 'Sofiaan', 'Tesla']"
1199240674484162560,2019-11-26 08:17:12,@Nnedi @Tesla We’d be happy to help,87,2405,[],1,"['Nnedi', 'Tesla']"
1199718926218776576,2019-11-27 15:57:36,@RenataKonkoly @Tesla @Teslarati @InsideEVs 🤣🤣,699,28886,[],1,"['RenataKonkoly', 'Tesla', 'Teslarati', 'InsideEVs']"
1199720951899811841,2019-11-27 16:05:39,@TheWalkingDead @Tesla The finest in apocalypse protection technology! Flamethrower optional.,641,12949,[],1,"['TheWalkingDead', 'Tesla']"
1200326465104990209,2019-11-29 08:11:44,@hardmaru @Tesla Touché,361,12743,[],1,"['hardmaru', 'Tesla']"
1201005212812468232,2019-12-01 05:08:50,"@indiealexh @es2120 @Tesla @woodhaus2 Safety work is done by engineering, with passive safety by body/chassis eng & active by Autopilot. Design in automotive refers to look & feel.",110,1566,[],1,"['indiealexh', 'es2120', 'Tesla', 'woodhaus2']"
1201020290853044224,2019-12-01 06:08:45,@TeslaForLife @Tesla @RamTrucks @Ford Laminar air flow due to a completely smooth bottom is underappreciated,360,10230,[],1,"['TeslaForLife', 'Tesla', 'RamTrucks', 'Ford']"
1201244266443366400,2019-12-01 20:58:45,"@royalsociety Tesla was almost called Faraday, as original holder of Tesla Motors trademark refused to sell it to us!",193,2981,[],1,['royalsociety']
1202298140763639809,2019-12-04 18:46:29,RT @Tesla: Model X just earned 5 stars from Euro NCAP in safety testing,2492,0,[],0,['Tesla']
1203115312016547840,2019-12-07 00:53:37,@vincent13031925 @vicentes @neiltyson Huge admiration & respect for the Tesla China team. Their talent & drive is amazing!,229,4883,[],1,"['vincent13031925', 'vicentes', 'neiltyson']"
1204116819956494336,2019-12-09 19:13:15,RT @Teslarati: Tesla's Virtual Power Plant rescues grid after coal peaker fails despite being only 2% complete\nhttps://t.co/XZZts0R3vl,1083,0,[],0,['Teslarati']
1204890899454410752,2019-12-11 22:29:10,"RT @edmunds: The Edmunds 2020 #TopRated best EV of the year is the @Tesla Model 3.\n\nThe Model 3 is unlike any other vehicle on sale, electr…",1208,0,['TopRated'],0,"['edmunds', 'Tesla']"
1205029016761094150,2019-12-12 07:38:00,@andrewMcarney @Tesla Sure,66,2059,[],1,"['andrewMcarney', 'Tesla']"
1207072889318465542,2019-12-17 22:59:37,@AlexSibila @Tesla Some good ideas here!,70,1476,[],1,"['AlexSibila', 'Tesla']"
1207131698468544512,2019-12-18 02:53:18,"@acevedo_lex @AlexSibila @Tesla Yes, probably & partially",82,1907,[],1,"['acevedo_lex', 'AlexSibila', 'Tesla']"
1207572562466738177,2019-12-19 08:05:09,Tesla Moth Mode (better late than never) https://t.co/Rcu87A8NkO,20116,183838,[],0,[]
1207865226604863488,2019-12-20 03:28:05,"Tesla holiday software update has FSD sneak preview, Stardew Valley, Lost Backgammon & a few other things",3073,64362,[],0,[]
1208470170697527296,2019-12-21 19:31:55,@dealer_of_happy @Tesla We’re working on moving more cars to Florida. End of year delivery is intense! Very proud of Tesla team for all their hard work.,185,4377,[],1,"['dealer_of_happy', 'Tesla']"
1208671790706216960,2019-12-22 08:53:05,"@RationalEtienne @cleantechnica That’s certainly our impression, but it’s an old version of Tesla software, so effect is limited",106,2452,[],1,"['RationalEtienne', 'cleantechnica']"
1208675660006191106,2019-12-22 09:08:28,@RationalEtienne @DonchoGunchev @Tesla @karpathy Sending you healing vibes …,79,1961,[],1,"['RationalEtienne', 'DonchoGunchev', 'Tesla', 'karpathy']"
1208831048026509312,2019-12-22 19:25:55,"If Tesla & SpaceX go bankrupt, so will I. As it should be.",7579,131789,[],1,[]
1208832207801872385,2019-12-22 19:30:32,"@TechnologicAli Started Zip2 with ~$2k & ~$100k of student debt, rolled proceeds into X/PayPal, rolled proceeds again into SpaceX/Tesla, but these are all companies where I played fundamental founding role. Not right to ask others to put in money if I don’t put in mine.",823,12371,[],1,['TechnologicAli']
1208876280491327488,2019-12-22 22:25:39,@therealcliffyb @Tesla Good point,46,1838,[],1,"['therealcliffyb', 'Tesla']"
1208877220233482240,2019-12-22 22:29:23,@therealcliffyb @Tesla @SpaceX Truth,39,1065,[],1,"['therealcliffyb', 'Tesla', 'SpaceX']"
1209535258653286418,2019-12-24 18:04:12,RT @Tesla: Trans-Canada Supercharger route from Vancouver to Halifax is now open! 🇨🇦⚡\nOver half the locations are V3 for the fastest chargi…,2131,0,[],0,['Tesla']
1209536537794359297,2019-12-24 18:09:17,@Erdayastronaut @Tesla Yes,89,3186,[],1,"['Erdayastronaut', 'Tesla']"
1209592161425149952,2019-12-24 21:50:19,"RT @Teslarati: Happy Holidays via OTA!\n\nAwesome first look at Tesla's (2019.40.50) software update in action, by @tesla_raj : Text messagin…",400,0,[],0,"['Teslarati', 'tesla_raj']"
1210259962598838272,2019-12-26 18:03:55,@TeslaOwnersofMA @Tesla @disneyplus @BenSullins Coming soon,120,2312,[],1,"['TeslaOwnersofMA', 'Tesla', 'disneyplus', 'BenSullins']"
1210263196457504768,2019-12-26 18:16:46,@teslaownersSV @tesla_unplugged @TeslaOwnersofMA @Tesla @disneyplus @BenSullins No,40,827,[],1,"['teslaownersSV', 'TeslaOwnersofMA', 'Tesla', 'disneyplus', 'BenSullins']"
